id,name,area_name,salary_from,salary_to,salary_gross,salary_currency,employer_name,knn_anomaly,iforest_anomaly,autoencoder_anomaly
111775064,Старший юрист,Москва,250000.0,350000.0,True,RUR,НТехЛаб,0,1,0
107634517,"C# developer junior / middle (.net, full-stack / back-end)",Москва,100000.0,300000.0,False,RUR,Mindbox,1,0,0
111771541,Верстальщик/Frontend-разработчик,Москва,60000.0,130000.0,False,RUR,Фарватер,0,0,0
110883330,Python разработчик (Django),Москва,50000.0,90000.0,False,RUR,Hammer Systems,0,0,0
112046567,Главный специалист по планированию и управлению товарными запасами,Москва,250000.0,270000.0,False,RUR,СИРИУС,0,0,0
112070550,Vue Frontend-разработчик,Москва,50000.0,220000.0,False,RUR,AVS Consulting,1,0,0
110958893,Frontend-разработчик,Москва,50000.0,220000.0,False,RUR,AVS Consulting,1,0,0
111437020,Middle frontend developer (react),Москва,100000.0,160000.0,False,RUR,Фабрика Решений,0,0,0
111817501,Руководитель юридического блока,Москва,250000.0,500000.0,False,RUR,RecruitTech,1,0,0
111939254,TeamLead / TeachLead Руководитель отдела разработки,Москва,500000.0,1500000.0,False,RUR,VPNM (Тихонов Денис Олегович),1,1,0
112089341,Руководитель отдела маркетинга и рекламы,Москва,200000.0,300000.0,False,RUR,САМОЛЕТ КОНСАЛТИНГ,0,0,0
111345990,Начинающий программист (junior),Москва,70000.0,130000.0,True,RUR,Омега,0,0,0
111961397,Frontend Developer (Vue.JS),Москва,150000.0,250000.0,False,RUR,AlfaBit,0,0,0
111777093,Курьер,Москва,50000.0,60000.0,False,RUR,НТехЛаб,0,0,0
112057928,Entry-level specialist with knowledge of English (Moscow),Москва,800.0,2000.0,False,USD,Индгроз Сервис,0,0,1
112281223,ML engineer (middle-senior),Москва,500000.0,700000.0,False,RUR,Лопатин Владимир Андреевич,1,1,0
112006105,Junior QA Manual specialist (Ручное тестирование),Москва,40000.0,80000.0,False,RUR,Oxytocin,0,0,0
112237717,Frontend-разработчик ReactJS,Москва,80000.0,140000.0,False,RUR,"Юнити,ООО",0,0,0
110636615,Младший специалист по тестированию (Junior QA),Москва,80000.0,80000.0,True,RUR,Электронная торговая площадка Газпромбанка,0,0,0
111807231,Тестировщик / QA Engineer (Middle) (Удаленно),Москва,2100.0,2300.0,False,USD,Superduper,0,0,1
111981370,Python-разработчик,Москва,100000.0,150000.0,False,RUR,ГК МФМК,0,0,0
112031656,Ведущий бухгалтер,Москва,165000.0,165000.0,True,RUR,РТ-ТехСервис,0,0,0
111207656,Специалист технической поддержки,Москва,50000.0,70000.0,False,RUR,Артвелл,0,0,0
110600404,Системный аналитик,Москва,60000.0,90000.0,False,RUR,Фьюче,0,0,0
112073126,UX/UI-дизайнер,Москва,100000.0,100000.0,False,RUR,МЕДИКУМ,0,0,0
112168396,Администратор сайта/Контент менеджер,Москва,70000.0,90000.0,False,RUR,Автохаус,0,0,0
111903222,Frontend-разработчик,Москва,120000.0,150000.0,False,RUR,ЛВ Софт,0,0,0
112207472,React Frontend-разработчик (на верстку креативных сайтов),Москва,80000.0,120000.0,False,RUR,Студия Oxem,0,0,0
110975501,Стажер-программист ASP.NET (C#),Москва,50000.0,150000.0,False,RUR,4А.Консалтинг,0,0,0
109825393,"Frontend разработчик (JavaScript/TypeScript, react)",Москва,130000.0,150000.0,False,RUR,A SWISS GROUP,0,0,0
111923460,Junior Python разработчик,Москва,45000.0,65000.0,False,RUR,Seven.Travel,0,0,0
110038797,Python-разработчик (Junior),Москва,150000.0,180000.0,False,RUR,Титов Дмитрий Владимирович,0,0,0
111960765,Проектный менеджер,Москва,150000.0,200000.0,False,RUR,AlfaBit,0,0,0
109819578,"Backend разработчик (Django, FastAPI, Python)",Москва,150000.0,170000.0,False,RUR,A SWISS GROUP,0,0,0
112179534,Младший юрист,Москва,60000.0,100000.0,True,RUR,Tevian (ООО Технологии видеоанализа),0,0,0
111853628,Специалист по ручному тестированию / Тестировщик QA,Москва,60000.0,80000.0,False,RUR,Карьерный компас,0,0,0
111985987,QA Engineer/Тестировщик,Москва,100000.0,140000.0,False,RUR,Восхождение,0,0,0
111986443,Тестировщик ПО,Москва,200000.0,250000.0,True,RUR,OONE WORLD,0,0,0
111870352,Менеджер по персоналу / HR менеджер,Москва,173000.0,173000.0,True,RUR,АГ-Логистик,0,0,0
112168851,Разработчик Delphi,Москва,300000.0,340000.0,True,RUR,LIAN,1,1,0
112149010,Bilingual teacher into a private school in Moscow,Москва,100000.0,120000.0,False,RUR,Автономная Некоммерческая Общеобразовательная организация Классный Проект,0,0,0
112001765,Разработчик C++,Москва,100000.0,105000.0,False,RUR,RedTeamCloud,0,0,0
112160452,.Net разработчик,Москва,180000.0,250000.0,False,RUR,АКСИС ПРО,0,0,0
110428437,Тестировщик специалист технической поддержки,Москва,50000.0,80000.0,False,RUR,Selsup,0,0,0
111274865,Junior Java-программист,Москва,60000.0,120000.0,False,RUR,Oxytocin,0,0,0
111348712,IOS Developer,Москва,150000.0,250000.0,False,RUR,Softintermob LLC,0,0,0
111181003,Специалист в офис,Москва,200000.0,250000.0,False,RUR,Самолет Плюс Мск Юг,0,0,0
111350374,Prompt-engineer,Москва,100000.0,300000.0,False,RUR,Нейросети,1,0,0
111792564,Middle Python Backend Developer,Москва,160000.0,220000.0,False,RUR,Vortex,0,0,0
110429201,Junior Java Developer,Москва,50000.0,70000.0,False,RUR,"Trend Soft, студия",0,0,0
111976047,Frontend-разработчик,Москва,250000.0,350000.0,True,RUR,Sapiens solutions,0,1,0
111974752,Junior web программист / интегратор (арбитраж трафика),Москва,40000.0,70000.0,False,RUR,Global NS,0,0,0
112077667,Специалист службы технической поддержки/2-ая линия и выше/ Help Desk,Москва,60000.0,90000.0,False,RUR,Теории от практиков,0,0,0
112093182,Python-разработчик — Middle,Москва,80000.0,150000.0,False,RUR,АРИГИН,0,0,0
109788485,Junior Java разработчик,Москва,60000.0,100000.0,False,RUR,Группа SRG,0,0,0
110876155,Начинающий Project Manager (IT),Москва,90000.0,125000.0,False,RUR,Альянс,0,0,0
109144502,Специалист контроля качества,Москва,30000.0,45000.0,False,RUR,Travelask.ru,0,0,1
110134917,Python/Django Junior Backend-разработчик,Москва,60000.0,90000.0,False,RUR,Placebo/25,0,0,0
111790740,"Продуктовый Дизайнер в hr, talent - tech стартап (международный)/Product Designer",Москва,100000.0,500000.0,False,RUR,Буров Алексей Константинович,1,0,0
112051210,"Тестировщик (бэк, ручное тестирование)",Москва,80000.0,90000.0,False,RUR,KONNEKTU,0,0,0
111875122,Java Developer Middle+ (fintech project),Москва,250000.0,350000.0,False,RUR,Картнода,0,0,0
111980064,Python-разработчик,Москва,200000.0,280000.0,False,RUR,Бриф,0,0,0
111603555,Java-разработчик Middle (полностью удаленно),Москва,180000.0,250000.0,False,RUR,Фабрика Решений,0,0,0
111567552,"Business development manager в международный AI hr-tech, talent-tech стартап",Москва,100000.0,500000.0,False,RUR,Буров Алексей Константинович,1,0,0
111976072,Веб-разработчик,Москва,150000.0,150000.0,False,RUR,Группа Компаний DentalGuru,0,0,0
111347636,Junior Project Manager,Москва,100000.0,130000.0,False,RUR,Red Dynamics,0,0,0
111513705,Backend-разработчик,Москва,100000.0,200000.0,False,RUR,Старт,0,0,0
109378400,Менеджер IT проектов,Москва,120000.0,200000.0,True,RUR,Колл-Тулз,0,0,0
110239943,Junior Java-разработчик,Москва,60000.0,120000.0,False,RUR,Осока Виталий Михайлович,0,0,0
112062009,Официант в ресторан Mela,Москва,110000.0,250000.0,False,RUR,Agalarov Development,0,0,0
111614959,Разработчик (загрузка данных по API),Москва,200000.0,250000.0,False,RUR,HR-Stalker,0,0,0
111474456,Ведущий программист 1С,Москва,300000.0,350000.0,False,RUR,Группа Компаний ЛАДЬЯ,0,1,0
111612105,Системный аналитик,Москва,150000.0,240000.0,False,RUR,RecruitTech,0,0,0
112075354,Рекрутер в IT-компанию,Москва,120000.0,180000.0,False,RUR,Веоникс,0,0,0
111570917,Менеджер по продажам B2B / Business Development Manager (BDM),Москва,3500.0,25000.0,False,USD,Craftstrong,0,0,1
110249981,Middle frontend-разработчик,Москва,180000.0,195000.0,True,RUR,Снэп АйТи,0,0,0
111504800,Менеджер по локализации,Москва,70000.0,100000.0,False,RUR,FunFlow (ООО Мобильные Игровые Решения),0,0,0
108972672,Специалист поддержки партнеров (Telegram),Москва,30000.0,30000.0,False,RUR,Travelask.ru,0,0,1
112070405,Junior AI Engineer,Москва,1000.0,1500.0,True,USD,EmFi Technologies Limited,0,1,1
111981332,Android разработчик (Junior),Москва,150000.0,160000.0,False,RUR,ПРОФИНАНС,0,0,0
111802554,"Mánager de mercados (Amazon, Mercado Libre)",Москва,70000.0,80000.0,False,RUR,47 Тех,0,0,0
111736885,Fullstack PHP-программист (удаленно) от 3 000 $ до 5 000 $,Москва,300000.0,500000.0,False,RUR,Точка роста,1,1,0
110126800,Специалист контроля качества работы,Москва,60000.0,60000.0,False,RUR,Дженезис,0,0,0
110135402,Python разработчик,Москва,180000.0,350000.0,False,RUR,AlfaBit,1,0,0
110774747,Главный бухгалтер/бухгалтер в единственном числе,Москва,140000.0,180000.0,False,RUR,РП-Трейд,0,0,0
111585688,Frontend-разработчик,Москва,90000.0,110000.0,False,RUR,Агроноут,0,0,0
111772059,Java Developer | Middle (+),Москва,200000.0,260000.0,True,RUR,Ошка,0,0,0
109226090,Оператор баз данных 1С,Москва,120000.0,175000.0,False,RUR,Кадровое агентство Халтурина Артема,0,0,0
111711615,Python разработчик в инновационный криптопроект,Москва,150000.0,250000.0,False,RUR,Сошал Системс,0,0,0
112163012,Разработчик Delphi,Москва,150000.0,200000.0,False,RUR,Просвирнина Анна Михайловна,0,0,0
112156545,Angular-разработчик,Москва,220000.0,260000.0,False,RUR,Бриф,0,0,0
111884960,«Java/Kotlin разработчик Android приложения»,Москва,2000.0,2500.0,False,USD,Alexarix,0,0,1
112128901,Разработчик frontend,Москва,100000.0,230000.0,False,RUR,Кадровый центр Президент,0,0,0
111239343,Младший архитектор,Москва,50000.0,60000.0,False,RUR,Флэтплан,0,0,0
111056113,Тендерный специалист,Москва,200000.0,500000.0,False,RUR,Арес,1,0,0
112044512,Бизнес-аналитик в Маркетплейс,Москва,200000.0,240000.0,True,RUR,Лэтуаль Диджитал,0,0,0
111652007,Помощник менеджера отдела бронирования,Москва,30000.0,30000.0,False,RUR,Система Бронирования,0,0,1
111312670,Личный помощник руководителя/личный ассистент,Москва,200000.0,200000.0,False,RUR,MAAR DEVELOPMENT,0,0,0
111581655,Начальник юридического отдела/директор юридического департамента,Москва,200000.0,200000.0,False,RUR,СВЭМ,0,0,0
111747901,Младший разработчик 1С,Москва,80000.0,140000.0,False,RUR,Рациональ-Софт,0,0,0
110884343,QA Head,Москва,400000.0,500000.0,False,RUR,FunFlow (ООО Мобильные Игровые Решения),1,1,0
111854577,UI разработчик,Москва,120000.0,170000.0,True,RUR,Сквад,0,0,0
110068328,Менеджер по работе с клиентами (English),Москва,120000.0,460000.0,False,RUR,Максима,1,1,0
112120908,QA инженер (тестировщик),Москва,70000.0,105000.0,True,RUR,Эшелон Технологии,0,0,0
112167899,Бизнес-ассистент по переписке с клиентами по знанием английского языка (B2-C1),Москва,25000.0,60000.0,True,RUR,ПИПЛ ЭРАУНД,0,1,0
91898783,Менеджер по продажам (B2B),Москва,70000.0,140000.0,True,RUR,Гарант,0,0,0
112165137,"Programme Adviser, Relations with Armed Forces Unit",Москва,200000.0,200000.0,True,RUR,The International Committee of the Red Cross,0,0,0
111878064,Коммерческий директор,Москва,290000.0,620000.0,True,RUR,Инфра24,1,1,0
112163982,Руководитель отдела маркетинга и PR,Москва,200000.0,250000.0,False,RUR,М Партс,0,0,0
112198426,Python-разработчик — Middle,Москва,80000.0,150000.0,False,RUR,Семенчук,0,0,0
111224530,Младший проджект-менеджер,Москва,70000.0,80000.0,False,RUR,Зимние Игры,0,0,0
112059594,Менеджер по показам квартир,Москва,80000.0,120000.0,False,RUR,AFI Development,0,0,0
111688314,Начинающий программист 1С (Розница),Москва,150000.0,200000.0,False,RUR,Esterk Lux Parfum,0,0,0
109306048,Frontend разработчик,Москва,200000.0,250000.0,False,RUR,RecruitTech,0,0,0
111261500,"Web-разработчик, Fullstack (PHP|Wordpress)",Москва,200000.0,250000.0,False,RUR,SUPERPET,0,0,0
110415824,Java-разработчик middle+/senior,Москва,200000.0,250000.0,False,RUR,Крокодил,0,0,0
110391649,Web-программист,Москва,70000.0,100000.0,False,RUR,Веб-студия Quicktum,0,0,0
111766546,Инженер технической поддержки WAF,Москва,100000.0,150000.0,False,RUR,Веблок,0,0,0
111970575,IT Project Manager / Технический менеджер проектов (удалённо),Москва,2300.0,2600.0,False,USD,Superduper,0,0,1
112238541,"Менеджер по персоналу / HR (IT, удалёнка)",Москва,100000.0,150000.0,False,RUR,Первый Бит,0,0,0
111885536,Бизнес-аналитик,Москва,200000.0,300000.0,False,RUR,TALANTLIVO,0,0,0
111508325,Архитектор-концептуалист,Москва,150000.0,250000.0,False,RUR,A&M HUNT,0,0,0
111404262,Оператор-программист станков с ЧПУ,Москва,150000.0,170000.0,False,RUR,СпецМеталлМастер,0,0,0
111870427,Бухгалтер,Москва,50000.0,80000.0,False,RUR,БалансПроф,0,0,0
104823092,Тестировщик ПО,Москва,140000.0,170000.0,False,RUR,Inline Telecom Solutions,0,0,0
110865056,QA engineer Junior / Тестировщик ПО / Tester,Москва,70000.0,100000.0,False,RUR,INGURU.RU,0,0,0
111974370,Frontend-разработчик (Angular + Web3),Москва,3000.0,5000.0,False,USD,Tetu,0,0,1
111187006,Ассистент - Upwork business davelopment manager в low-code студию США,Москва,552.0,1052.0,True,USD,Hi no code,0,1,1
111998837,Frontend разработчик (VueJs) / Frontend Developer,Москва,140000.0,180000.0,False,RUR,"Reputation House Marketing Management, LLC",0,0,0
112261094,Веб-дизайнер для международной биотехнологической стартап-студии,Москва,120000.0,200000.0,True,RUR,Скандерм Про,0,0,0
110110158,Менеджер по закупкам,Москва,150000.0,200000.0,True,RUR,Curaprox,0,0,0
111070350,"Контент мейкер, смм, рилсмейкер",Москва,50000.0,100000.0,False,RUR,ГРИДЕМ,0,0,0
112266207,Аккаунт-менеджер / Менеджер проектов (удаленно),Москва,90000.0,120000.0,False,RUR,Вебтехнологии,0,0,0
111985431,Бэкенд разработчик интернет-магазина на PHP,Москва,170000.0,220000.0,False,RUR,Торговый дом Саником,0,0,0
112164673,Junior Process Analyst,Москва,100000.0,140000.0,True,RUR,Red Dynamics,0,0,0
110640431,Frontend-разработчик,Москва,180000.0,250000.0,False,RUR,AYA Group,0,0,0
111514443,Frontend-разработчик,Москва,100000.0,200000.0,False,RUR,Старт,0,0,0
112040423,Начинающий аналитик требований,Москва,90000.0,125000.0,False,RUR,Альянс,0,0,0
111307834,Backend-разработчик,Москва,100000.0,200000.0,False,RUR,Монуаж,0,0,0
111435201,Курьер пеший на документы,Москва,30000.0,30000.0,False,RUR,Неруд Центр,0,0,1
112181076,Java developer,Москва,200000.0,250000.0,False,RUR,Enjoypro,0,0,0
102298727,Оператор станков с ЧПУ,Москва,130000.0,160000.0,False,RUR,ТехноГрупп,0,0,0
110036547,Геймдизайнер/левелдизайнер,Москва,800.0,1200.0,False,USD,Трофимович Иван Владимирович,0,0,1
110674928,Специалист технической поддержки (L1/L2),Москва,35000.0,58000.0,True,RUR,Феникс,0,1,0
111351846,Системный администратор (junior),Москва,53000.0,53000.0,False,RUR,Cetera,0,0,0
110121656,Тестировщик,Москва,80000.0,100000.0,True,RUR,Arthur Hunt,0,0,0
111613911,Project Manager (Blockchain/DeFi),Москва,2000.0,4000.0,False,USD,Qenetex,0,0,1
110336167,"Тестировщик QA/AQA (middle, senior, удалённо)",Москва,80000.0,250000.0,False,RUR,Staff-Hub,0,0,0
110956877,Frontend-разработчик (Vue.js),Москва,200000.0,300000.0,False,RUR,РТК-ИННОМЕД,0,0,0
111889054,Рекрутер,Москва,150000.0,150000.0,True,RUR,АГ-Логистик,0,0,0
112074912,Разработчик C/C++ Middle,Москва,170000.0,300000.0,False,RUR,TestiQA,0,0,0
110216274,Инженер-тестировщик Web,Москва,80000.0,100000.0,False,RUR,Осьминожка,0,0,0
112140875,Тестировщик ПО / QA Инженер Python,Москва,150000.0,250000.0,False,RUR,ДипХакЛаб,0,0,0
110669933,Младший Java разработчик,Москва,80000.0,100000.0,True,RUR,"ИВИС, OOO",0,0,0
111783949,Ведущий аналитик,Москва,150000.0,250000.0,False,RUR,ФГБУ Центральный НИИ организации и информатизации здравоохранения Минздрава России,0,0,0
111000253,Младший проектный менеджер (локализация видео игр),Москва,700.0,700.0,True,USD,Staffwell,0,1,1
110760660,QA engineer,Москва,150000.0,230000.0,True,RUR,Tevian (ООО Технологии видеоанализа),0,0,0
107395830,Java-разработчик,Москва,150000.0,200000.0,True,RUR,Снэп АйТи,0,0,0
110655725,Project Manager (менеджер проектов),Москва,90000.0,150000.0,False,RUR,ONE TOUCH,0,0,0
111082998,Системный аналитик,Москва,200000.0,380000.0,False,RUR,Centicore,1,0,0
111606978,Backend-разработчик,Москва,60000.0,100000.0,True,RUR,Мето Групп,0,0,0
112147558,Тестировщик устройств Яндекса с Алисой,Москва,56000.0,78000.0,True,RUR,Яндекс Крауд,0,0,0
111775398,Старший администратор (девелопмент),Москва,120000.0,150000.0,False,RUR,СпецСнабТранс,0,0,0
111976845,Инженер-программист АСУ ТП / DCS (Siemens PCS 7) / Программист сопровождения,Москва,165000.0,345000.0,False,RUR,CORALINA DIGITAL,1,0,0
111873205,Программист 1С (Junior),Москва,40000.0,100000.0,True,RUR,Новая Платформа,0,0,0
110302423,Frontend разработчик,Москва,150000.0,180000.0,False,RUR,Ак,0,0,0
111499034,Бухгалтер на первичную документацию,Москва,115000.0,126500.0,True,RUR,Philipp Plein,0,0,0
111946301,Программист PHP,Москва,40000.0,65000.0,False,RUR,Фьюче,0,0,0
111445559,Стажер Business Developer,Москва,100.0,200.0,False,USD,Payllet,0,0,1
110089862,Заместитель главного бухгалтера,Москва,260000.0,260000.0,True,RUR,ВТЕ ЮГО-ВОСТОК,1,1,0
110318195,Front-End Developer,Москва,60000.0,120000.0,True,RUR,Roistat,0,0,0
111536666,Инженер-тестировщик ПО,Москва,80000.0,100000.0,False,RUR,FINTECH CORE,0,0,0
111903322,Специалист клиентской поддержки,Москва,50000.0,60000.0,False,RUR,KTS,0,0,0
112067253,Оператор/тестировщик,Москва,92000.0,92000.0,True,RUR,Строй Инвест Проект,0,0,0
111000397,Frontend-разработчик TS/React,Москва,130000.0,170000.0,False,RUR,ТехАудит,0,0,0
111379216,Администратор сайта,Москва,75000.0,90000.0,False,RUR,Ювелирный шоурум Blue Story,0,0,0
110100079,Бухгалтер по расчету заработной платы (стажировка на консультанта 1С:ЗУП),Москва,81600.0,130700.0,True,RUR,Информационные Технологии Бизнеса,0,0,0
111303194,Инженер -техник по эксплуатации здания,Москва,80000.0,90000.0,False,RUR,AB Development,0,0,0
111479687,Менеджер проектов,Москва,35000.0,85000.0,False,RUR,Polza Agency (ИП Ерхов Никита Владимирович),0,0,0
111706581,PHP / Laravel Developer (Удаленно),Москва,1600.0,2000.0,False,USD,KingBoost,0,0,1
110983236,Младший программист-разработчик,Москва,80000.0,100000.0,True,RUR,YG,0,0,0
111614546,Vue frontend-разработчик (middle+/senior),Москва,250000.0,400000.0,False,RUR,JVO.ru,1,0,0
111793189,Web-разработчик,Москва,80000.0,80000.0,False,RUR,ПКФ Топ-Сенс,0,0,0
111807544,Технический специалист со знанием Linux,Москва,45000.0,110000.0,True,RUR,Точка Оплаты,0,0,0
110219577,Junior IT специалист | Младший аналитик | Системный аналитик,Москва,80000.0,140000.0,False,RUR,Soar high software,0,0,0
111984979,Системный администратор,Москва,200000.0,250000.0,False,RUR,Black Shark Recruiting,0,0,0
111986679,Менеджер проектов (креативный отдел),Москва,100000.0,200000.0,False,RUR,FunFlow (ООО Мобильные Игровые Решения),0,0,0
111877539,Фронтенд разработчик (в офисе),Москва,90000.0,150000.0,False,RUR,Бемзо,0,0,0
110341700,DevOps-инженер (офис / гибрид / удалёнка),Москва,110000.0,130000.0,False,RUR,МТГ. Бизнес-решения,0,0,0
112188638,Разработчик электронных курсов,Москва,80000.0,80000.0,False,RUR,ЦЕНТРОФИНАНС,0,0,0
111404254,Начинающий инженер по продажам оборудования,Москва,115000.0,287000.0,True,RUR,ТУРКОВ,0,1,0
111518218,Исполнительный директор (CEO),Москва,200000.0,500000.0,True,RUR,Clickise,1,1,0
112060774,Исполнительный директор (Производство и разработка крепежа для деревянного домостроения),Москва,200000.0,600000.0,False,RUR,СИЛА-ЦЕНТР,1,1,0
112077586,Секретарь на ресепшен,Москва,70000.0,70000.0,False,RUR,Polymedia,0,0,0
110985215,Python разработчик,Москва,150000.0,220000.0,False,RUR,aQsi,0,0,0
110099099,Python программист (удаленно),Москва,270000.0,320000.0,True,RUR,HR-Stalker,0,1,0
111750520,Frontend Middle Developer,Москва,130000.0,175000.0,False,RUR,Муртазин Рустам Ирекович,0,0,0
110337819,Веб-программист,Москва,53000.0,155000.0,False,RUR,Cetera,0,0,0
111036694,Специалист отдела поддержки,Москва,450.0,600.0,False,USD,Priqol Labs,0,0,1
111781662,Ведущий архитектор,Москва,230000.0,230000.0,True,RUR,LEGENDA,0,1,0
112060382,Региональный менеджер по работе с ключевыми клиентами,Москва,150000.0,180000.0,False,RUR,Cornerstone Russia,0,0,0
112151239,Программист-разработчик в it-компанию,Москва,100000.0,120000.0,False,RUR,Альфа,0,0,0
111511283,Junior Account Manager (digital) / Младший менеджер по работе с клиентами,Москва,70000.0,70000.0,True,RUR,Convergent,0,0,0
109434676,Специалист технической поддержки,Москва,80000.0,100000.0,False,RUR,Эктострой,0,0,0
110022851,QA Engineer | Тестировщик,Москва,30000.0,60000.0,False,RUR,RichBee,0,0,1
111893283,Fashion Content Specialist,Москва,3000.0,4000.0,False,USD,MT Lab,0,0,1
111347931,Бизнес-ассистент Директора компании,Москва,150000.0,200000.0,False,RUR,ИНСТРАКТ,0,0,0
110628369,Junior Data Analyst / Младший Аналитик,Москва,70000.0,100000.0,False,RUR,АгроКлуб,0,0,0
112065604,Разработчик C++,Москва,240000.0,300000.0,False,RUR,WMT,0,0,0
112134490,Системный аналитик,Москва,65000.0,120000.0,True,RUR,Сычалин Артем Владимирович,0,0,0
109725490,Ассистент руководителя / Project manager в IT компанию,Москва,50000.0,200000.0,True,RUR,United Developers,0,1,0
111355900,Менеджер продукта,Москва,100000.0,180000.0,False,RUR,Пазл Продакшн,0,0,0
109941341,QA Engineer Middle+,Москва,120000.0,180000.0,False,RUR,Мандарин,0,0,0
110243207,Middle QA инженер (ручной),Москва,85000.0,120000.0,False,RUR,Vortex,0,0,0
110619796,Frontend разработчик (Frontend Developer),Москва,150000.0,300000.0,False,RUR,Алтимета,0,0,0
111579439,Руководитель отдела маркетинга,Москва,140000.0,160000.0,False,RUR,Гилядов Гиляд Перисович,0,0,0
110758353,Младший программист,Санкт-Петербург,30000.0,50000.0,False,RUR,Медицинские электронные данные,0,0,1
111985777,Senior Android Разработчик,Москва,3000.0,5000.0,False,USD,Photo Lab,0,0,1
112133887,Программист-стажер 1С Документооборот,Москва,50000.0,100000.0,True,RUR,"Российский университет дружбы народов, ФГАОУ ВО",0,0,0
